...1,B2,B3,B4,row,geometry,index_right,...8,latitude,longitude,area_in_meters,confidence,full_plus_code,building
2158,1197,1109,968,2159,POINT (35.313274199318734 -15.38251743108813),608,3304154,-15.38242136,35.31342939,864.1643,0.7818,5GPQJ897+29M4,1
2159,1299,1245,1182,2160,POINT (35.31336730744725 -15.382516463066777),608,3304154,-15.38242136,35.31342939,864.1643,0.7818,5GPQJ897+29M4,1
2358,1057,996,896,2359,POINT (35.313275197038706 -15.382607766200776),608,3304154,-15.38242136,35.31342939,864.1643,0.7818,5GPQJ897+29M4,1
1581,1098,917,852,1582,POINT (35.31541268872469 -15.38222415182851),1490,8152030,-15.38239519,35.31537722,527.5539,0.8482,5GPQJ898+25R2,1
1781,1141,982,915,1782,POINT (35.315413687346535 -15.382314486806472),1490,8152030,-15.38239519,35.31537722,527.5539,0.8482,5GPQJ898+25R2,1
1980,1112,1010,998,1981,POINT (35.31532157803129 -15.382405790654422),1490,8152030,-15.38239519,35.31537722,527.5539,0.8482,5GPQJ898+25R2,1
1981,1178,1021,974,1982,POINT (35.31541468597496 -15.382404821783645),1490,8152030,-15.38239519,35.31537722,527.5539,0.8482,5GPQJ898+25R2,1
2180,1128,950,892,2181,POINT (35.31532257662622 -15.382496125636758),1490,8152030,-15.38239519,35.31537722,527.5539,0.8482,5GPQJ898+25R2,1
1599,1010,896,741,1600,POINT (35.31708862914216 -15.38220670572057),1142,6280319,-15.38222401,35.31705518,46.0588,0.761,5GPQJ898+4R75,1
1600,1044,990,783,1601,POINT (35.31718173688055 -15.38220573612299),69,338968,-15.38220832,35.31716448,119.1001,0.8039,5GPQJ898+4V7M,1
1602,1471,1514,1446,1603,POINT (35.31736795233757 -15.382203796811185),1168,6457711,-15.38229245,35.31733393,208.4017,0.8243,5GPQJ898+3WP8,1
1801,1330,1282,1371,1802,POINT (35.31727584403558 -15.382295101345196),1168,6457711,-15.38229245,35.31733393,208.4017,0.8243,5GPQJ898+3WP8,1
1802,1910,2186,2233,1803,POINT (35.31736895180086 -15.382294131663889),1168,6457711,-15.38229245,35.31733393,208.4017,0.8243,5GPQJ898+3WP8,1
1667,1289,1226,1301,1668,POINT (35.32341994033003 -15.38214068451657),1730,9378739,-15.3821417,35.32346308,185.8552,0.8039,5GPQJ89F+49W9,1
1668,1382,1382,1533,1669,POINT (35.32351304761977 -15.382139712275162),1730,9378739,-15.3821417,35.32346308,185.8552,0.8039,5GPQJ89F+49W9,1
1669,1545,1579,1787,1670,POINT (35.323606154902905 -15.38213873999488),370,1995981,-15.38212756,35.32361367,57.6716,0.6855,5GPQJ89F+4CXW,1
1672,1079,942,1102,1673,POINT (35.32388547671267 -15.382135822920745),1462,8006235,-15.38223209,35.32398909,346.2036,0.8797,5GPQJ89F+4H5P,1
1873,1064,931,1209,1874,POINT (35.32397958627754 -15.382225184913358),1462,8006235,-15.38223209,35.32398909,346.2036,0.8797,5GPQJ89F+4H5P,1
2074,1073,907,1173,2075,POINT (35.32407369592254 -15.382314546854326),1462,8006235,-15.38223209,35.32398909,346.2036,0.8797,5GPQJ89F+4H5P,1
