,latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
1113900,-15.42883721,35.42719777,23.579,0.7018,"POLYGON((35.4272274095412 -15.4288228575757, 35.4271731239462 -15.4288157511579, 35.4271681443399 -15.4288515418882, 35.4272224299443 -15.4288586483059, 35.4272274095412 -15.4288228575757))",5GPQHCCG+FV8F
1132779,-15.42705684,35.40947828,35.1879,0.7985,"POLYGON((35.4095174494018 -15.4270484383796, 35.4094573561495 -15.4270236472341, 35.4094391151446 -15.4270652504912, 35.409499208408 -15.42709004164, 35.4095174494018 -15.4270484383796))",5GPQHCF5+5QHM
1146543,-15.42412677,35.40974251,71.2596,0.8078,"POLYGON((35.4097856661847 -15.4240919322653, 35.4097165245055 -15.4240784869227, 35.4096993445995 -15.4241616155382, 35.4097684863068 -15.4241750608823, 35.4097856661847 -15.4240919322653))",5GPQHCG5+8VXX
1150372,-15.42736182,35.40988379,20.2002,0.6275,"POLYGON((35.4099016497135 -15.4273849723638, 35.4099039712372 -15.4273405329049, 35.4098659314315 -15.4273386631191, 35.4098636098996 -15.4273831025785, 35.4099016497135 -15.4273849723638))",5GPQHCF5+3X2F
1160139,-15.42214813,35.42677302,48.6095,0.6563,"POLYGON((35.4267761414919 -15.4221935194076, 35.4268168256126 -15.4221318617444, 35.4267699044859 -15.4221027293103, 35.426729220354 -15.4221643869665, 35.4267761414919 -15.4221935194076))",5GPQHCHG+4PR4
1166903,-15.42120951,35.4262926,48.9431,0.7674,"POLYGON((35.4263353497489 -15.4212310364515, 35.4263211009382 -15.4211774263853, 35.4262746283878 -15.4211890489756, 35.4262695020662 -15.4211697615562, 35.426250860729 -15.4211744236733, 35.4262702358454 -15.4212473211659, 35.4263353497489 -15.4212310364515))",5GPQHCHG+GG7M
1179908,-15.42503705,35.41119271,42.8955,0.822,"POLYGON((35.4112256260928 -15.4250640211665, 35.4112215720514 -15.4250060274452, 35.4111597989725 -15.4250100906018, 35.4111638529971 -15.4250680843263, 35.4112256260928 -15.4250640211665))",5GPQHCF6+XFPC
1189937,-15.42713791,35.41071572,10.363,0.6923,"POLYGON((35.4107330222702 -15.4271260385367, 35.4107022399471 -15.4271220367264, 35.4106984062085 -15.4271497837522, 35.4107291885358 -15.4271537855625, 35.4107330222702 -15.4271260385367))",5GPQHCF6+47WH
1212654,-15.42406056,35.41194182,54.9136,0.8461,"POLYGON((35.4119798 -15.4240296, 35.411901 -15.4240332, 35.4119038 -15.4240915, 35.4119827 -15.4240879, 35.4119798 -15.4240296))",5GPQHCG6+9QGC
1240541,-15.43811926,35.42124992,85.9712,0.8014,"POLYGON((35.4212977805123 -15.4380823514891, 35.4212071610254 -15.4380768730815, 35.4212020657541 -15.4381561662943, 35.4212926852761 -15.4381616446982, 35.4212977805123 -15.4380823514891))",5GPQHC6C+QF59
1291837,-15.42305893,35.42620462,35.9615,0.7737,"POLYGON((35.4262437202357 -15.4230516498512, 35.4261897427394 -15.4230231146625, 35.4261655301616 -15.4230662109084, 35.4262195076675 -15.4230947461017, 35.4262437202357 -15.4230516498512))",5GPQHCGG+QFGP
1321459,-15.43303446,35.42686,28.4112,0.679,"POLYGON((35.4268807175798 -15.4330621314202, 35.4268913403557 -15.4330187904744, 35.4268392818771 -15.4330067856547, 35.4268286590906 -15.4330501265997, 35.4268807175798 -15.4330621314202))",5GPQHC8G+QPQP
1333653,-15.42526759,35.41042371,91.1247,0.7356,"POLYGON((35.4104132 -15.4253161, 35.4104148 -15.425298, 35.4104725 -15.4253029, 35.4104788 -15.4252326, 35.4103812 -15.4252243, 35.4103732 -15.4253127, 35.4104132 -15.4253161))",5GPQHCF6+V5V8
1335985,-15.4378533,35.42280132,18.3618,0.6743,"POLYGON((35.4228234237324 -15.4378357846217, 35.422778820323 -15.4378362718971, 35.4227792213555 -15.4378708085442, 35.4228238247723 -15.4378703212674, 35.4228234237324 -15.4378357846217))",5GPQHC6F+V43W
1363671,-15.42595249,35.41076786,32.9503,0.6812,"POLYGON((35.4107982125762 -15.4259774322631, 35.4108041929035 -15.4259367987676, 35.4107375159922 -15.4259275651678, 35.4107315356517 -15.4259681986633, 35.4107982125762 -15.4259774322631))",5GPQHCF6+J86W
1366447,-15.42948948,35.41035985,13.5232,0.6301,"POLYGON((35.41038328894 -15.4294816021831, 35.4103448236645 -15.4294703361457, 35.4103364087336 -15.429497368719, 35.4103748740141 -15.4295086347572, 35.41038328894 -15.4294816021831))",5GPQHCC6+645G
1376097,-15.42845637,35.40968571,44.6174,0.8288,"POLYGON((35.4097212634818 -15.4284313387531, 35.4096605998678 -15.4284214097048, 35.409650162571 -15.4284814098148, 35.4097108262028 -15.4284913388636, 35.4097212634818 -15.4284313387531))",5GPQHCC5+JV7Q
1391992,-15.43286675,35.42496624,84.1192,0.7331,"POLYGON((35.4250129968975 -15.4329112000655, 35.4249804065669 -15.4328047517559, 35.4249194769789 -15.4328223028002, 35.4249520672844 -15.4329287511227, 35.4250129968975 -15.4329112000655))",5GPQHC8F+VX49
1402900,-15.42823838,35.41024748,27.9394,0.7327,"POLYGON((35.4102691971506 -15.4282670389128, 35.410264500525 -15.4282068639816, 35.4102257670006 -15.4282097084514, 35.4102304636153 -15.4282698833849, 35.4102691971506 -15.4282670389128))",5GPQHCC6+P35H
1411402,-15.42448554,35.4263041,42.8962,0.8016,"POLYGON((35.4263347659362 -15.4245154027706, 35.4263400705381 -15.4244618932837, 35.4262734282065 -15.424455676962, 35.4262681235871 -15.4245091864499, 35.4263347659362 -15.4245154027706))",5GPQHCGG+6G3G
1414791,-15.42410895,35.40995875,62.8536,0.8189,"POLYGON((35.4099213 -15.4241442, 35.4099927 -15.4241474, 35.4099962 -15.4240737, 35.4099248 -15.4240705, 35.4099213 -15.4241442))",5GPQHCG5+9X4P
